season,week,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,results,placement,judge_total,judge_mean,judge_rank,contestants_active
4,4,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,3rd Place,3,21.0,7.0,5.0,9
4,4,John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,Eliminated Week 7,6,16.0,5.333333333333333,7.0,9
4,4,Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,Eliminated Week 4,9,16.0,5.333333333333333,7.0,9
4,4,Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,Eliminated Week 5,8,15.0,5.0,9.0,9
4,5,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,1st Place,1,30.0,10.0,1.0,8
4,5,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,3rd Place,3,28.0,9.333333333333334,2.0,8
4,5,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,2nd Place,2,25.0,8.333333333333334,3.0,8
4,5,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,Eliminated Week 9,4,24.0,8.0,4.0,8
4,5,Heather Mills,Jonathan Roberts,Model,,England,39,Eliminated Week 6,7,21.0,7.0,5.0,8
4,5,John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,Eliminated Week 7,6,18.0,6.0,6.0,8
4,5,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,Eliminated Week 8,5,17.0,5.666666666666667,7.0,8
4,5,Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,Eliminated Week 5,8,13.0,4.333333333333333,8.0,8
4,6,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,1st Place,1,28.0,9.333333333333334,1.0,7
4,6,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,3rd Place,3,28.0,9.333333333333334,1.0,7
4,6,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,2nd Place,2,27.0,9.0,3.0,7
4,6,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,Eliminated Week 9,4,24.0,8.0,4.0,7
4,6,Heather Mills,Jonathan Roberts,Model,,England,39,Eliminated Week 6,7,23.0,7.666666666666667,5.0,7
4,6,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,Eliminated Week 8,5,21.0,7.0,6.0,7
4,6,John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,Eliminated Week 7,6,19.0,6.333333333333333,7.0,7
4,7,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,2nd Place,2,29.5,9.833333333333334,1.0,6
4,7,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,3rd Place,3,29.5,9.833333333333334,1.0,6
4,7,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,1st Place,1,27.0,9.0,3.0,6
4,7,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,Eliminated Week 9,4,27.0,9.0,3.0,6
4,7,John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,Eliminated Week 7,6,22.5,7.5,5.0,6
4,7,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,Eliminated Week 8,5,19.0,6.333333333333333,6.0,6
4,8,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,1st Place,1,29.0,9.666666666666666,1.0,5
4,8,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,2nd Place,2,27.5,9.166666666666666,2.0,5
4,8,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,3rd Place,3,26.5,8.833333333333334,3.0,5
4,8,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,Eliminated Week 9,4,23.5,7.833333333333333,4.0,5
4,8,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,Eliminated Week 8,5,19.0,6.333333333333333,5.0,5
4,9,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,2nd Place,2,30.0,10.0,1.0,4
4,9,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,3rd Place,3,30.0,10.0,1.0,4
