celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week,judge1_score,judge2_score,judge3_score,judge4_score,judge_count,judge_total,judge_mean,has_score_record,active
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,3,5.0,4.0,4.0,,3,13.0,4.333333333333333,True,True
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,3,0.0,0.0,0.0,,3,0.0,0.0,True,False
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,4,9.0,9.0,8.0,,3,26.0,8.666666666666666,True,True
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,4,7.0,8.0,6.0,,3,21.0,7.0,True,True
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,4,7.0,6.0,7.0,,3,20.0,6.666666666666667,True,True
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,4,7.0,9.0,9.0,,3,25.0,8.333333333333334,True,True
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,4,0.0,0.0,0.0,,3,0.0,0.0,True,False
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,4,0.0,0.0,0.0,,3,0.0,0.0,True,False
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,5,8.5,7.5,7.5,,3,23.5,7.833333333333333,True,True
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,5,9.0,9.0,9.0,,3,27.0,9.0,True,True
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,5,8.5,7.0,7.0,,3,22.5,7.5,True,True
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,5,0.0,0.0,0.0,,3,0.0,0.0,True,False
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,5,0.0,0.0,0.0,,3,0.0,0.0,True,False
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,5,0.0,0.0,0.0,,3,0.0,0.0,True,False
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,6,8.5,9.5,9.5,,3,27.5,9.166666666666666,True,True
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,6,9.0,9.0,9.0,,3,27.0,9.0,True,True
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,6,0.0,0.0,0.0,,3,0.0,0.0,True,False
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,6,0.0,0.0,0.0,,3,0.0,0.0,True,False
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,6,0.0,0.0,0.0,,3,0.0,0.0,True,False
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,6,0.0,0.0,0.0,,3,0.0,0.0,True,False
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,7,,,,,0,,,False,False
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,7,,,,,0,,,False,False
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7,,,,,0,,,False,False
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,7,,,,,0,,,False,False
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,7,,,,,0,,,False,False
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,7,,,,,0,,,False,False
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,8,,,,,0,,,False,False
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,8,,,,,0,,,False,False
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,8,,,,,0,,,False,False
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,8,,,,,0,,,False,False
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,8,,,,,0,,,False,False
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,8,,,,,0,,,False,False
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,9,,,,,0,,,False,False
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,9,,,,,0,,,False,False
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,9,,,,,0,,,False,False
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,9,,,,,0,,,False,False
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,9,,,,,0,,,False,False
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,9,,,,,0,,,False,False
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,10,,,,,0,,,False,False
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,10,,,,,0,,,False,False
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,10,,,,,0,,,False,False
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,10,,,,,0,,,False,False
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,10,,,,,0,,,False,False
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,10,,,,,0,,,False,False
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,11,,,,,0,,,False,False
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,11,,,,,0,,,False,False
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,11,,,,,0,,,False,False
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,11,,,,,0,,,False,False
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,11,,,,,0,,,False,False
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,11,,,,,0,,,False,False
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,1,8.0,8.0,8.0,,3,24.0,8.0,True,True
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,1,7.0,7.0,7.0,,3,21.0,7.0,True,True
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,1,8.0,6.0,8.0,,3,22.0,7.333333333333333,True,True
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,1,5.0,7.0,7.0,,3,19.0,6.333333333333333,True,True
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,1,7.0,5.0,6.0,,3,18.0,6.0,True,True
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,1,6.0,7.0,7.0,,3,20.0,6.666666666666667,True,True
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,1,4.0,4.0,4.0,,3,12.0,4.0,True,True
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,1,7.0,8.0,8.0,,3,23.0,7.666666666666667,True,True
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,1,7.0,8.0,8.0,,3,23.0,7.666666666666667,True,True
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,1,4.0,5.0,4.0,,3,13.0,4.333333333333333,True,True
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,2,9.0,9.0,9.0,,3,27.0,9.0,True,True
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,2,7.0,8.0,8.0,,3,23.0,7.666666666666667,True,True
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,2,9.0,10.0,10.0,,3,29.0,9.666666666666666,True,True
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,2,6.0,7.0,7.0,,3,20.0,6.666666666666667,True,True
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,2,8.0,7.0,7.0,,3,22.0,7.333333333333333,True,True
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,2,7.0,8.0,7.0,,3,22.0,7.333333333333333,True,True
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,2,6.0,5.0,5.0,,3,16.0,5.333333333333333,True,True
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,2,8.0,8.0,8.0,,3,24.0,8.0,True,True
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,2,5.0,6.0,6.0,,3,17.0,5.666666666666667,True,True
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,2,0.0,0.0,0.0,,3,0.0,0.0,True,False
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,3,9.0,9.0,9.0,,3,27.0,9.0,True,True
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,3,7.0,6.0,6.0,,3,19.0,6.333333333333333,True,True
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,3,9.0,9.0,9.0,,3,27.0,9.0,True,True
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,3,8.0,8.0,9.0,,3,25.0,8.333333333333334,True,True
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,3,7.0,7.0,8.0,,3,22.0,7.333333333333333,True,True
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,3,9.0,8.0,9.0,,3,26.0,8.666666666666666,True,True
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,3,6.0,4.0,4.0,,3,14.0,4.666666666666667,True,True
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,3,7.0,8.0,7.0,,3,22.0,7.333333333333333,True,True
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,3,0.0,0.0,0.0,,3,0.0,0.0,True,False
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,3,0.0,0.0,0.0,,3,0.0,0.0,True,False
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,4,9.0,9.0,10.0,,3,28.0,9.333333333333334,True,True
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,4,8.0,8.0,8.0,,3,24.0,8.0,True,True
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,4,8.0,9.0,9.0,,3,26.0,8.666666666666666,True,True
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,4,9.0,9.0,8.0,,3,26.0,8.666666666666666,True,True
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,4,7.0,7.0,7.0,,3,21.0,7.0,True,True
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,4,9.0,8.0,8.0,,3,25.0,8.333333333333334,True,True
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4,4.0,2.0,2.0,,3,8.0,2.6666666666666665,True,True
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,4,0.0,0.0,0.0,,3,0.0,0.0,True,False
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,4,0.0,0.0,0.0,,3,0.0,0.0,True,False
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,4,0.0,0.0,0.0,,3,0.0,0.0,True,False
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,5,9.0,9.0,9.0,,3,27.0,9.0,True,True
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,5,7.0,8.0,8.0,,3,23.0,7.666666666666667,True,True
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,5,10.0,10.0,10.0,,3,30.0,10.0,True,True
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,5,7.0,9.0,9.0,,3,25.0,8.333333333333334,True,True
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,5,8.0,8.0,8.0,,3,24.0,8.0,True,True
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,5,7.0,7.0,8.0,,3,22.0,7.333333333333333,True,True
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,5,0.0,0.0,0.0,,3,0.0,0.0,True,False
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,5,0.0,0.0,0.0,,3,0.0,0.0,True,False
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,5,0.0,0.0,0.0,,3,0.0,0.0,True,False
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,5,0.0,0.0,0.0,,3,0.0,0.0,True,False
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,6,10.0,10.0,10.0,,3,30.0,10.0,True,True
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,6,8.0,7.0,8.0,,3,23.0,7.666666666666667,True,True
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,6,10.0,10.0,10.0,,3,30.0,10.0,True,True
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,6,9.0,9.0,9.0,,3,27.0,9.0,True,True
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,6,8.0,7.0,8.0,,3,23.0,7.666666666666667,True,True
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,6,0.0,0.0,0.0,,3,0.0,0.0,True,False
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,6,0.0,0.0,0.0,,3,0.0,0.0,True,False
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,6,0.0,0.0,0.0,,3,0.0,0.0,True,False
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,6,0.0,0.0,0.0,,3,0.0,0.0,True,False
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,6,0.0,0.0,0.0,,3,0.0,0.0,True,False
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,7,9.5,9.0,9.0,,3,27.5,9.166666666666666,True,True
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,7,7.0,7.0,6.5,,3,20.5,6.833333333333333,True,True
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,7,9.0,9.0,9.5,,3,27.5,9.166666666666666,True,True
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,7,8.5,9.0,9.0,,3,26.5,8.833333333333334,True,True
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,7,0.0,0.0,0.0,,3,0.0,0.0,True,False
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,7,0.0,0.0,0.0,,3,0.0,0.0,True,False
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,7,0.0,0.0,0.0,,3,0.0,0.0,True,False
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,7,0.0,0.0,0.0,,3,0.0,0.0,True,False
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,7,0.0,0.0,0.0,,3,0.0,0.0,True,False
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,7,0.0,0.0,0.0,,3,0.0,0.0,True,False
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,8,9.6666,9.6666,9.6666,,3,28.9998,9.6666,True,True
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,8,9.0,9.0,8.6666,,3,26.666600000000003,8.888866666666667,True,True
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,8,9.3333,9.6666,9.6666,,3,28.6665,9.5555,True,True
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,8,0.0,0.0,0.0,,3,0.0,0.0,True,False
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,8,0.0,0.0,0.0,,3,0.0,0.0,True,False
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,8,0.0,0.0,0.0,,3,0.0,0.0,True,False
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,8,0.0,0.0,0.0,,3,0.0,0.0,True,False
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,8,0.0,0.0,0.0,,3,0.0,0.0,True,False
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,8,0.0,0.0,0.0,,3,0.0,0.0,True,False
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,8,0.0,0.0,0.0,,3,0.0,0.0,True,False
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,9,,,,,0,,,False,False
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,9,,,,,0,,,False,False
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,9,,,,,0,,,False,False
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,9,,,,,0,,,False,False
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,9,,,,,0,,,False,False
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,9,,,,,0,,,False,False
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,9,,,,,0,,,False,False
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,9,,,,,0,,,False,False
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,9,,,,,0,,,False,False
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,9,,,,,0,,,False,False
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,10,,,,,0,,,False,False
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,10,,,,,0,,,False,False
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,10,,,,,0,,,False,False
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,10,,,,,0,,,False,False
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,10,,,,,0,,,False,False
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,10,,,,,0,,,False,False
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,10,,,,,0,,,False,False
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,10,,,,,0,,,False,False
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,10,,,,,0,,,False,False
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,10,,,,,0,,,False,False
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,11,,,,,0,,,False,False
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,11,,,,,0,,,False,False
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,11,,,,,0,,,False,False
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,11,,,,,0,,,False,False
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,11,,,,,0,,,False,False
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,11,,,,,0,,,False,False
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,11,,,,,0,,,False,False
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,11,,,,,0,,,False,False
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,11,,,,,0,,,False,False
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,11,,,,,0,,,False,False
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,1,8.0,8.0,8.0,,3,24.0,8.0,True,True
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,1,9.0,8.0,9.0,,3,26.0,8.666666666666666,True,True
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,1,7.0,7.0,7.0,,3,21.0,7.0,True,True
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,1,6.0,6.0,7.0,,3,19.0,6.333333333333333,True,True
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,1,5.0,5.0,6.0,,3,16.0,5.333333333333333,True,True
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,1,5.0,5.0,5.0,,3,15.0,5.0,True,True
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,1,7.0,7.0,8.0,,3,22.0,7.333333333333333,True,True
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,1,6.0,8.0,8.0,,3,22.0,7.333333333333333,True,True
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,1,5.0,6.0,6.0,,3,17.0,5.666666666666667,True,True
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,1,7.0,5.0,6.0,,3,18.0,6.0,True,True
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,1,5.0,4.0,3.0,,3,12.0,4.0,True,True
