season,week,next_week,event_type,active_count,eliminated_count,observed_eliminated,percent_eliminated,rank_eliminated,judge_only_bottom,fan_only_bottom,rank_percent_different,fan_override_judges,rank_overlap_with_percent
3,5,6,multi_elimination,7,2,Sara Evans;Willa Ford,Sara Evans;Willa Ford,Sara Evans;Willa Ford,Jerry Springer;Sara Evans,Willa Ford;Emmitt Smith,False,True,2
3,7,8,single_elimination,5,1,Jerry Springer,Jerry Springer,Jerry Springer,Jerry Springer,Jerry Springer,False,False,1
3,8,9,single_elimination,4,1,Monique Coleman,Monique Coleman,Monique Coleman,Monique Coleman,Joey Lawrence,False,False,1
3,9,10,single_elimination,3,1,Joey Lawrence,Joey Lawrence,Joey Lawrence,Emmitt Smith,Joey Lawrence,False,True,1
4,2,3,single_elimination,11,1,Paulina Porizkova,Paulina Porizkova,Paulina Porizkova,Clyde Drexler,Paulina Porizkova,False,True,1
4,3,4,single_elimination,10,1,Shandi Finnessey,Shandi Finnessey,John Ratzenberger,Clyde Drexler,Shandi Finnessey,True,True,0
4,4,5,single_elimination,9,1,Leeza Gibbons,Leeza Gibbons,Leeza Gibbons,Clyde Drexler,Leeza Gibbons,False,True,1
4,5,6,single_elimination,8,1,Clyde Drexler,Clyde Drexler,Billy Ray Cyrus,Clyde Drexler,Apolo Anton Ohno,True,False,0
4,6,7,single_elimination,7,1,Heather Mills,Heather Mills,Heather Mills,John Ratzenberger,Heather Mills,False,True,1
4,7,8,single_elimination,6,1,John Ratzenberger,John Ratzenberger,John Ratzenberger,Billy Ray Cyrus,John Ratzenberger,False,True,1
4,8,9,single_elimination,5,1,Billy Ray Cyrus,Billy Ray Cyrus,Laila Ali,Billy Ray Cyrus,Laila Ali,True,False,0
4,9,10,single_elimination,4,1,Ian Ziering,Ian Ziering,Ian Ziering,Ian Ziering,Ian Ziering,False,False,1
5,1,2,single_elimination,12,1,Josie Maran,Josie Maran,Floyd Mayweather Jr. ,Josie Maran,Floyd Mayweather Jr. ,True,False,0
5,2,3,single_elimination,11,1,Albert Reed,Albert Reed,Albert Reed,Wayne Newton,Albert Reed,False,True,1
5,3,4,single_elimination,10,1,Wayne Newton,Wayne Newton,Floyd Mayweather Jr. ,Wayne Newton,Floyd Mayweather Jr. ,True,False,0
5,4,5,single_elimination,9,1,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,Mark Cuban,Floyd Mayweather Jr. ,False,True,1
5,5,6,single_elimination,8,1,Mark Cuban,Mark Cuban,Mark Cuban,Marie Osmond,Mark Cuban,False,True,1
5,6,7,single_elimination,7,1,Sabrina Bryan,Sabrina Bryan,Sabrina Bryan,Jane Seymour,Sabrina Bryan,False,True,1
5,7,8,single_elimination,6,1,Jane Seymour,Jane Seymour,Jane Seymour,Jane Seymour,Helio Castroneves,False,False,1
5,8,9,single_elimination,5,1,Cameron Mathison,Cameron Mathison,Cameron Mathison,Marie Osmond,Cameron Mathison,False,True,1
5,9,10,single_elimination,4,1,Jennie Garth,Jennie Garth,Jennie Garth,Marie Osmond,Jennie Garth,False,True,1
6,2,3,multi_elimination,12,2,Monica Seles;Penn Jillette,Monica Seles;Penn Jillette,Penn Jillette;Monica Seles,Monica Seles;Steve Guttenberg,Penn Jillette;Adam Carolla,False,True,2
6,3,4,single_elimination,10,1,Steve Guttenberg,Steve Guttenberg,Steve Guttenberg,Marissa Jaret Winokur,Steve Guttenberg,False,True,1
6,4,5,single_elimination,9,1,Adam Carolla,Adam Carolla,Adam Carolla,Adam Carolla,Jason Taylor,False,False,1
6,5,6,single_elimination,8,1,Priscilla Presley,Priscilla Presley,Marissa Jaret Winokur,Priscilla Presley,Marissa Jaret Winokur,True,False,0
6,6,7,single_elimination,7,1,Marlee Matlin,Marlee Matlin,Marlee Matlin,Marlee Matlin,Marissa Jaret Winokur,False,False,1
6,7,8,single_elimination,6,1,Shannon Elizabeth,Shannon Elizabeth,Shannon Elizabeth,Cristian de la Fuente,Shannon Elizabeth,False,True,1
6,8,9,single_elimination,5,1,Mario,Mario,Mario,Marissa Jaret Winokur,Mario,False,True,1
6,9,10,single_elimination,4,1,Marissa Jaret Winokur,Marissa Jaret Winokur,Jason Taylor,Marissa Jaret Winokur,Jason Taylor,True,False,0
7,1,2,multi_elimination,13,2,Jeffrey Ross;Ted McGinley,Jeffrey Ross;Ted McGinley,Ted McGinley;Kim Kardashian,Jeffrey Ross;Cloris Leachman,Ted McGinley;Kim Kardashian,True,True,1
7,2,3,multi_elimination,11,2,Kim Kardashian;Misty May-Treanor,Kim Kardashian;Misty May-Treanor,Kim Kardashian;Misty May-Treanor,Cloris Leachman;Rocco DiSpirito,Misty May-Treanor;Cody Linley,False,True,2
7,4,5,single_elimination,9,1,Rocco DiSpirito,Rocco DiSpirito,Cody Linley,Rocco DiSpirito,Cody Linley,True,False,0
7,5,6,single_elimination,8,1,Toni Braxton,Toni Braxton,Toni Braxton,Cloris Leachman,Toni Braxton,False,True,1
7,6,7,single_elimination,7,1,Cloris Leachman,Cloris Leachman,Cloris Leachman,Cloris Leachman,Brooke Burke,False,False,1
7,7,8,single_elimination,6,1,Susan Lucci,Susan Lucci,Susan Lucci,Warren Sapp,Susan Lucci,False,True,1
7,8,9,single_elimination,5,1,Maurice Greene,Maurice Greene,Maurice Greene,Cody Linley,Maurice Greene,False,True,1
7,9,10,single_elimination,4,1,Cody Linley,Cody Linley,Cody Linley,Cody Linley,Warren Sapp,False,False,1
8,2,3,single_elimination,13,1,Belinda Carlisle,Belinda Carlisle,Belinda Carlisle,Steve-O,Belinda Carlisle,False,True,1
8,3,4,single_elimination,12,1,Denise Richards,Denise Richards,Denise Richards,Steve Wozniak,Denise Richards,False,True,1
8,4,5,multi_elimination,11,2,Holly Madison;Steve Wozniak,Steve Wozniak;Holly Madison,Holly Madison;Lawrence Taylor,Steve Wozniak;Steve-O,Holly Madison;Lawrence Taylor,True,True,1
8,5,6,single_elimination,9,1,David Alan Grier,David Alan Grier,David Alan Grier,Steve-O,David Alan Grier,False,True,1
8,6,7,single_elimination,8,1,Steve-O,Steve-O,Ty Murray,Steve-O,Ty Murray,True,False,0
8,7,8,single_elimination,7,1,Lawrence Taylor,Lawrence Taylor,Ty Murray,Lawrence Taylor,Ty Murray,True,False,0
8,8,9,single_elimination,6,1,Chuck Wicks,Chuck Wicks,Chuck Wicks,Melissa Rycroft,Chuck Wicks,False,True,1
8,9,10,single_elimination,5,1,Lil' Kim,Lil' Kim,Lil' Kim,Ty Murray,Lil' Kim,False,True,1
8,10,11,single_elimination,4,1,Ty Murray,Ty Murray,Melissa Rycroft,Ty Murray,Melissa Rycroft,True,False,0
9,1,2,multi_elimination,16,2,Ashley Hamiliton;Macy Gray,Macy Gray;Ashley Hamiliton,Chuck Liddell;Debi Mazar,Ashley Hamiliton;Macy Gray,Joanna Krupa;Chuck Liddell,True,False,0
9,2,3,single_elimination,14,1,Kathy Ireland,Kathy Ireland,Kathy Ireland,Kathy Ireland,Kathy Ireland,False,False,1
9,3,4,multi_elimination,13,2,Debi Mazar;Tom DeLay,Tom DeLay;Debi Mazar,Debi Mazar;Tom DeLay,Michael Irvin;Tom DeLay,Debi Mazar;Joanna Krupa,False,True,2
9,4,5,single_elimination,11,1,Chuck Liddell,Chuck Liddell,Chuck Liddell,Louie Vito,Chuck Liddell,False,True,1
9,5,6,single_elimination,10,1,Natalie Coughlin,Natalie Coughlin,Natalie Coughlin,Michael Irvin,Natalie Coughlin,False,True,1
9,6,7,multi_elimination,9,2,Louie Vito;Melissa Joan Hart,Melissa Joan Hart;Louie Vito,Louie Vito;Melissa Joan Hart,Michael Irvin;Melissa Joan Hart,Louie Vito;Melissa Joan Hart,False,True,2
9,7,8,multi_elimination,7,2,Mark Dacascos;Michael Irvin,Mark Dacascos;Michael Irvin,Mark Dacascos;Mya,Mark Dacascos;Michael Irvin,Mark Dacascos;Aaron Carter,True,False,1
9,8,9,single_elimination,5,1,Aaron Carter,Aaron Carter,Aaron Carter,Aaron Carter,Joanna Krupa,False,False,1
9,9,10,single_elimination,4,1,Joanna Krupa,Joanna Krupa,Joanna Krupa,Donny Osmond,Joanna Krupa,False,True,1
10,2,3,single_elimination,11,1,Shannen Doherty,Shannen Doherty,Shannen Doherty,Buzz Aldrin,Shannen Doherty,False,True,1
10,3,4,single_elimination,10,1,Buzz Aldrin,Buzz Aldrin,Kate Gosselin,Buzz Aldrin,Jake Pavelka,True,False,0
10,4,5,single_elimination,9,1,Aiden Turner,Aiden Turner,Aiden Turner,Kate Gosselin,Aiden Turner,False,True,1
10,5,6,single_elimination,8,1,Kate Gosselin,Kate Gosselin,Niecy Nash,Kate Gosselin,Jake Pavelka,True,False,0
10,6,7,single_elimination,7,1,Jake Pavelka,Jake Pavelka,Jake Pavelka,Jake Pavelka,Chad Ochocinco,False,False,1
10,7,8,single_elimination,6,1,Pamela Anderson,Pamela Anderson,Pamela Anderson,Niecy Nash,Pamela Anderson,False,True,1
10,8,9,single_elimination,5,1,Niecy Nash,Niecy Nash,Chad Ochocinco,Niecy Nash,Chad Ochocinco,True,False,0
10,9,10,single_elimination,4,1,Chad Ochocinco,Chad Ochocinco,Chad Ochocinco,Chad Ochocinco,Chad Ochocinco,False,False,1
11,1,2,single_elimination,12,1,David Hasselhoff,David Hasselhoff,David Hasselhoff,David Hasselhoff,David Hasselhoff,False,False,1
11,2,3,single_elimination,11,1,Michael Bolton,Michael Bolton,Michael Bolton,Michael Bolton,Michael Bolton,False,False,1
11,3,4,single_elimination,10,1,Margaret Cho,Margaret Cho,Margaret Cho,Margaret Cho,Audrina Patridge,False,False,1
11,4,5,single_elimination,9,1,The Situation,The Situation,The Situation,The Situation,The Situation,False,False,1
11,5,6,single_elimination,8,1,Florence Henderson,Florence Henderson,Florence Henderson,Bristol Palin,Florence Henderson,False,True,1
11,6,7,single_elimination,7,1,Audrina Patridge,Audrina Patridge,Jennifer Grey,Kurt Warner,Audrina Patridge,True,True,0
11,7,8,single_elimination,6,1,Rick Fox,Rick Fox,Rick Fox,Bristol Palin,Rick Fox,False,True,1
11,8,9,single_elimination,5,1,Kurt Warner,Kurt Warner,Kurt Warner,Bristol Palin,Kurt Warner,False,True,1
11,9,10,single_elimination,4,1,Brandy,Brandy,Brandy,Bristol Palin,Brandy,False,True,1
12,2,3,single_elimination,11,1,Mike Catherwood,Mike Catherwood,Mike Catherwood,Mike Catherwood,Kirstie Alley,False,False,1
12,3,4,single_elimination,10,1,Wendy Williams,Wendy Williams,Wendy Williams,Wendy Williams,Romeo,False,False,1
12,4,5,single_elimination,9,1,Sugar Ray Leonard,Sugar Ray Leonard,Sugar Ray Leonard,Kendra Wilkinson,Sugar Ray Leonard,False,True,1
12,5,6,single_elimination,8,1,Petra Nemcova,Petra Nemcova,Petra Nemcova,Kendra Wilkinson,Petra Nemcova,False,True,1
12,6,7,single_elimination,7,1,Chris Jericho,Chris Jericho,Chris Jericho,Chris Jericho,Chris Jericho,False,False,1
12,7,8,single_elimination,6,1,Kendra Wilkinson,Kendra Wilkinson,Kendra Wilkinson,Kirstie Alley,Kendra Wilkinson,False,True,1
12,8,9,single_elimination,5,1,Romeo,Romeo,Romeo,Ralph Macchio,Romeo,False,True,1
12,9,10,single_elimination,4,1,Ralph Macchio,Ralph Macchio,Ralph Macchio,Ralph Macchio,Chelsea Kane,False,False,1
13,1,2,single_elimination,12,1,Metta World Peace (Ron),Metta World Peace (Ron),Metta World Peace (Ron),Metta World Peace (Ron),Metta World Peace (Ron),False,False,1
13,2,3,single_elimination,11,1,Elisabetta Canalis,Elisabetta Canalis,Hope Solo,Chaz Bono,Elisabetta Canalis,True,True,0
13,3,4,single_elimination,10,1,Kristin Cavallari,Kristin Cavallari,Carson Kressley,Chaz Bono,Kristin Cavallari,True,True,0
13,4,5,single_elimination,9,1,Chynna Phillips,Chynna Phillips,Chynna Phillips,Carson Kressley,Chynna Phillips,False,True,1
13,5,6,single_elimination,8,1,Carson Kressley,Carson Kressley,Carson Kressley,Carson Kressley,Carson Kressley,False,False,1
13,6,7,single_elimination,7,1,Chaz Bono,Chaz Bono,Chaz Bono,Chaz Bono,Nancy Grace,False,False,1
13,7,8,single_elimination,6,1,David Arquette,David Arquette,David Arquette,Nancy Grace,David Arquette,False,True,1
13,8,9,single_elimination,5,1,Nancy Grace,Nancy Grace,Nancy Grace,Nancy Grace,Nancy Grace,False,False,1
13,9,10,single_elimination,4,1,Hope Solo,Hope Solo,J.R. Martinez,Hope Solo,Ricki Lake,True,False,0
14,2,3,single_elimination,12,1,Martina Navratilova,Martina Navratilova,Melissa Gilbert,Martina Navratilova,Melissa Gilbert,True,False,0
14,3,4,single_elimination,11,1,Jack Wagner,Jack Wagner,Jack Wagner,Gavin DeGraw,Jack Wagner,False,True,1
14,4,5,single_elimination,10,1,Sherri Sheperd,Sherri Sheperd,Sherri Sheperd,Gladys Knight,Sherri Sheperd,False,True,1
14,5,6,single_elimination,9,1,Gavin DeGraw,Gavin DeGraw,Gavin DeGraw,Gavin DeGraw,Gladys Knight,False,False,1
14,6,7,single_elimination,8,1,Gladys Knight,Gladys Knight,Melissa Gilbert,Gladys Knight,Melissa Gilbert,True,False,0
14,7,8,single_elimination,7,1,Jaleel White,Jaleel White,Jaleel White,Melissa Gilbert,Jaleel White,False,True,1
14,8,9,multi_elimination,6,2,Melissa Gilbert;Roshon Fegan,Melissa Gilbert;Roshon Fegan,Roshon Fegan;Melissa Gilbert,Melissa Gilbert;Maria Menounos,Roshon Fegan;William Levy,False,True,2
14,9,10,single_elimination,4,1,Maria Menounos,Maria Menounos,Maria Menounos,Katherine Jenkins,Maria Menounos,False,True,1
15,1,2,single_elimination,13,1,Pamela Anderson,Pamela Anderson,Kirstie Alley,Pamela Anderson,Sabrina Bryan,True,False,0
15,2,3,single_elimination,12,1,Joey Fatone,Joey Fatone,Joey Fatone,Bristol Palin,Joey Fatone,False,True,1
15,3,4,multi_elimination,11,2,Drew Lachey;Helio Castroneves,Drew Lachey;Helio Castroneves,Emmitt Smith;Helio Castroneves,Bristol Palin;Drew Lachey,Helio Castroneves;Apolo Anton Ohno,True,True,1
15,4,5,single_elimination,9,1,Bristol Palin,Bristol Palin,Bristol Palin,Kirstie Alley,Bristol Palin,False,True,1
15,6,7,single_elimination,8,1,Sabrina Bryan,Sabrina Bryan,Shawn Johnson,Emmitt Smith,Sabrina Bryan,True,True,0
15,8,9,multi_elimination,7,2,Gilles Marini;Kirstie Alley,Kirstie Alley;Gilles Marini,Kirstie Alley;Emmitt Smith,Kirstie Alley;Shawn Johnson,Gilles Marini;Emmitt Smith,True,True,1
15,9,10,multi_elimination,5,2,Apolo Anton Ohno;Emmitt Smith,Emmitt Smith;Apolo Anton Ohno,Apolo Anton Ohno;Emmitt Smith,Emmitt Smith;Kelly Monaco,Apolo Anton Ohno;Melissa Rycroft,False,True,2
16,2,3,single_elimination,12,1,Dorothy Hamill,Dorothy Hamill,D. L. Hughley,Dorothy Hamill,Andy Dick,True,False,0
16,3,4,single_elimination,11,1,Wynonna Judd,Wynonna Judd,Andy Dick,Wynonna Judd,Andy Dick,True,False,0
16,4,5,single_elimination,10,1,Lisa Vanderpump,Lisa Vanderpump,Lisa Vanderpump,Lisa Vanderpump,Lisa Vanderpump,False,False,1
16,5,6,single_elimination,9,1,D. L. Hughley,D. L. Hughley,D. L. Hughley,Andy Dick,D. L. Hughley,False,True,1
16,6,7,single_elimination,8,1,Victor Ortiz,Victor Ortiz,Victor Ortiz,Victor Ortiz,Alexandra Raisman,False,False,1
16,7,8,single_elimination,7,1,Andy Dick,Andy Dick,Andy Dick,Andy Dick,Zendaya,False,False,1
16,8,9,single_elimination,6,1,Sean Lowe,Sean Lowe,Ingo Rademacher,Sean Lowe,Ingo Rademacher,True,False,0
16,9,10,single_elimination,5,1,Ingo Rademacher,Ingo Rademacher,Ingo Rademacher,Ingo Rademacher,Kellie Pickler,False,False,1
17,2,3,single_elimination,12,1,Keyshawn Johnson,Keyshawn Johnson,Keyshawn Johnson,Bill Nye,Keyshawn Johnson,False,True,1
17,3,4,single_elimination,11,1,Bill Nye,Bill Nye,Bill Nye,Bill Nye,Christina Milian,False,False,1
17,4,5,single_elimination,10,1,Valerie Harper,Valerie Harper,Valerie Harper,Valerie Harper,Christina Milian,False,False,1
17,5,6,single_elimination,9,1,Christina Milian,Christina Milian,Amber Riley,Leah Remini,Christina Milian,True,True,0
17,7,8,single_elimination,8,1,"Nicole ""Snooki"" Polizzi","Nicole ""Snooki"" Polizzi",Leah Remini,Bill Engvall,"Nicole ""Snooki"" Polizzi",True,True,0
17,8,9,single_elimination,7,1,Brant Daugherty,Brant Daugherty,Brant Daugherty,Bill Engvall,Brant Daugherty,False,True,1
17,9,10,single_elimination,6,1,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,Amber Riley,Bill Engvall,Elizabeth Berkley Lauren,True,True,0
17,10,11,single_elimination,5,1,Leah Remini,Leah Remini,Leah Remini,Bill Engvall,Leah Remini,False,True,1
18,1,2,single_elimination,12,1,Diana Nyad,Diana Nyad,Diana Nyad,Billy Dee Williams,Diana Nyad,False,True,1
18,2,3,multi_elimination,11,2,Billy Dee Williams;Sean Avery,Billy Dee Williams;Sean Avery,Billy Dee Williams;Sean Avery,Billy Dee Williams;Candace Cameron Bure,Sean Avery;Billy Dee Williams,False,True,2
18,5,6,single_elimination,9,1,Cody Simpson,Cody Simpson,Cody Simpson,Drew Carey,Cody Simpson,False,True,1
18,6,7,single_elimination,8,1,Drew Carey,Drew Carey,Drew Carey,Candace Cameron Bure,Drew Carey,False,True,1
18,7,8,single_elimination,7,1,NeNe Leakes,NeNe Leakes,Charlie White,NeNe Leakes,Charlie White,True,False,0
18,8,9,single_elimination,6,1,Danica McKellar,Danica McKellar,Danica McKellar,Candace Cameron Bure,Danica McKellar,False,True,1
18,9,10,single_elimination,5,1,Charlie White,Charlie White,Charlie White,Candace Cameron Bure,Charlie White,False,True,1
19,1,2,single_elimination,13,1,Lolo Jones,Lolo Jones,Lolo Jones,Betsey Johnson,Lolo Jones,False,True,1
19,2,3,single_elimination,12,1,Tavis Smiley,Tavis Smiley,Tavis Smiley,Michael Waltrip,Tavis Smiley,False,True,1
19,3,4,single_elimination,11,1,Randy Couture,Randy Couture,Randy Couture,Randy Couture,Randy Couture,False,False,1
19,4,5,single_elimination,10,1,Betsey Johnson,Betsey Johnson,Betsey Johnson,Jonathan Bennett,Betsey Johnson,False,True,1
19,6,7,single_elimination,9,1,Jonathan Bennett,Jonathan Bennett,Jonathan Bennett,Antonio Sabato Jr.,Jonathan Bennett,False,True,1
19,7,8,single_elimination,8,1,Antonio Sabato Jr.,Antonio Sabato Jr.,Antonio Sabato Jr.,Michael Waltrip,Antonio Sabato Jr.,False,True,1
19,8,9,single_elimination,7,1,Michael Waltrip,Michael Waltrip,Tommy Chong,Michael Waltrip,Tommy Chong,True,False,0
19,9,10,single_elimination,6,1,Lea Thompson,Lea Thompson,Lea Thompson,Tommy Chong,Lea Thompson,False,True,1
19,10,11,single_elimination,5,1,Tommy Chong,Tommy Chong,Tommy Chong,Tommy Chong,Tommy Chong,False,False,1
20,2,3,single_elimination,12,1,Redfoo,Redfoo,Redfoo,Chris Soules,Redfoo,False,True,1
20,3,4,single_elimination,11,1,Charlotte McKinney,Charlotte McKinney,Charlotte McKinney,Charlotte McKinney,Charlotte McKinney,False,False,1
20,4,5,single_elimination,10,1,Michael Sam,Michael Sam,Michael Sam,Chris Soules,Michael Sam,False,True,1
20,5,6,single_elimination,9,1,Suzanne Somers,Suzanne Somers,Suzanne Somers,Robert Herjavec,Suzanne Somers,False,True,1
20,6,7,single_elimination,8,1,Patti LaBelle,Patti LaBelle,Patti LaBelle,Robert Herjavec,Patti LaBelle,False,True,1
20,7,8,single_elimination,7,1,Willow Shields,Willow Shields,Willow Shields,Chris Soules,Willow Shields,False,True,1
20,8,9,multi_elimination,6,2,Chris Soules;Robert Herjavec,Robert Herjavec;Chris Soules,Chris Soules;Robert Herjavec,Robert Herjavec;Noah Galloway,Chris Soules;Rumer Willis,False,True,2
20,9,10,single_elimination,4,1,Nastia Liukin,Nastia Liukin,Nastia Liukin,Noah Galloway,Nastia Liukin,False,True,1
21,2,3,multi_elimination,13,3,Chaka Khan;Kim Zolciak-Biermann;Victor Espinoza,Chaka Khan;Kim Zolciak-Biermann;Victor Espinoza,Kim Zolciak-Biermann;Victor Espinoza;Andy Grammer,Chaka Khan;Gary Busey;Kim Zolciak-Biermann,Kim Zolciak-Biermann;Victor Espinoza;Tamar Braxton,True,True,2
21,4,5,single_elimination,10,1,Gary Busey,Gary Busey,Paula Deen,Gary Busey,Hayes Grier,True,False,0
21,6,7,single_elimination,9,1,Paula Deen,Paula Deen,Alek Skarlatos,Paula Deen,Alek Skarlatos,True,False,0
21,7,8,single_elimination,8,1,Hayes Grier,Hayes Grier,Alexa PenaVega,Alek Skarlatos,Hayes Grier,True,True,0
21,8,9,single_elimination,7,1,Andy Grammer,Andy Grammer,Alek Skarlatos,Andy Grammer,Carlos PenaVega,True,False,0
21,9,10,multi_elimination,6,2,Alexa PenaVega;Tamar Braxton,Tamar Braxton;Alexa PenaVega,Tamar Braxton;Alexa PenaVega,Tamar Braxton;Alek Skarlatos,Alexa PenaVega;Tamar Braxton,False,True,2
22,2,3,single_elimination,12,1,Geraldo Rivera,Geraldo Rivera,Doug Flutie,Geraldo Rivera,Doug Flutie,True,False,0
22,3,4,single_elimination,11,1,Mischa Barton,Mischa Barton,Antonio Brown,Mischa Barton,Antonio Brown,True,False,0
22,4,5,single_elimination,10,1,Marla Maples,Marla Maples,Marla Maples,Doug Flutie,Marla Maples,False,True,1
22,6,7,single_elimination,9,1,Doug Flutie,Doug Flutie,Doug Flutie,Doug Flutie,Doug Flutie,False,False,1
22,7,8,multi_elimination,8,2,Kim Fields;Von Miller,Kim Fields;Von Miller,Kim Fields;Von Miller,Jodie Sweetin;Antonio Brown,Kim Fields;Von Miller,False,True,2
22,8,9,single_elimination,6,1,Jodie Sweetin,Jodie Sweetin,Jodie Sweetin,Wanya Morris,Jodie Sweetin,False,True,1
22,9,10,multi_elimination,5,2,Antonio Brown;Wanya Morris,Antonio Brown;Wanya Morris,Antonio Brown;Wanya Morris,Antonio Brown;Ginger Zee,Wanya Morris;Paige VanZant,False,True,2
23,2,3,single_elimination,13,1,Jake T. Austin,Jake T. Austin,Jake T. Austin,Rick Perry,Jake T. Austin,False,True,1
23,3,4,single_elimination,12,1,Rick Perry,Rick Perry,Rick Perry,Rick Perry,Jana Kramer,False,False,1
23,4,5,multi_elimination,11,2,Babyface;Vanilla Ice,Babyface;Vanilla Ice,Vanilla Ice;Babyface,Babyface;Marilu Henner,Vanilla Ice;James Hinchcliffe,False,True,2
23,6,7,single_elimination,9,1,Amber Rose,Amber Rose,Amber Rose,Amber Rose,Amber Rose,False,False,1
23,7,8,single_elimination,8,1,Maureen McCormick,Maureen McCormick,Maureen McCormick,Marilu Henner,Maureen McCormick,False,True,1
23,8,9,single_elimination,7,1,Ryan Lochte,Ryan Lochte,Ryan Lochte,Marilu Henner,Ryan Lochte,False,True,1
23,9,10,single_elimination,6,1,Marilu Henner,Marilu Henner,Terra Jole,James Hinchcliffe,Terra Jole,True,True,0
23,10,11,single_elimination,5,1,Terra Jole,Terra Jole,Terra Jole,Calvin Johnson Jr.,Terra Jole,False,True,1
24,2,3,single_elimination,12,1,Chris Kattan,Chris Kattan,Chris Kattan,Chris Kattan,Chris Kattan,False,False,1
24,3,4,single_elimination,11,1,Charo,Charo,Charo,Bonner Bolton,Charo,False,True,1
24,4,5,single_elimination,10,1,Mr. T,Mr. T,David Ross,Mr. T,Rashad Jennings,True,False,0
24,5,6,single_elimination,9,1,Erika Jayne,Erika Jayne,Erika Jayne,David Ross,Erika Jayne,False,True,1
24,6,7,single_elimination,8,1,Heather Morris,Heather Morris,Rashad Jennings,Nick Viall,Heather Morris,True,True,0
24,7,8,multi_elimination,7,2,Nancy Kerrigan;Nick Viall,Nick Viall;Nancy Kerrigan,Nancy Kerrigan;Nick Viall,Bonner Bolton;David Ross,Nancy Kerrigan;Nick Viall,False,True,2
24,8,9,single_elimination,5,1,Bonner Bolton,Bonner Bolton,Simone Biles,Bonner Bolton,Simone Biles,True,False,0
24,9,10,single_elimination,4,1,Simone Biles,Simone Biles,Simone Biles,David Ross,Simone Biles,False,True,1
25,2,3,multi_elimination,13,2,Barbara Corcoran;Debbie Gibson,Barbara Corcoran;Debbie Gibson,Barbara Corcoran;Debbie Gibson,Barbara Corcoran;Derek Fisher,Debbie Gibson;Lindsey Stirling,False,True,2
25,4,5,single_elimination,11,1,Derek Fisher,Derek Fisher,Derek Fisher,Nick Lachey,Derek Fisher,False,True,1
25,5,6,single_elimination,10,1,Sasha Pieterse,Sasha Pieterse,Sasha Pieterse,Nick Lachey,Sasha Pieterse,False,True,1
25,6,7,single_elimination,9,1,Nick Lachey,Nick Lachey,Drew Scott,Nick Lachey,Drew Scott,True,False,0
25,7,8,multi_elimination,8,2,Nikki Bella;Vanessa Lachey,Nikki Bella;Vanessa Lachey,Nikki Bella;Vanessa Lachey,Nikki Bella;Terrell Owens,Vanessa Lachey;Jordan Fisher,False,True,2
25,8,9,single_elimination,6,1,Terrell Owens,Terrell Owens,Terrell Owens,Drew Scott,Terrell Owens,False,True,1
25,9,10,single_elimination,5,1,Victoria Arlen,Victoria Arlen,Victoria Arlen,Drew Scott,Victoria Arlen,False,True,1
