celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,results,placement,judge_total,judge_mean,judge_rank,contestants_active,season,week,next_week,event_type,observed_eliminated,judge_percent,fan_share_est,fan_rank_est,combined_percent,combined_percent_rank,rank_rule_score,rank_rule_bad_rank,fan_rescue_gap,controversy_index,fan_share_min,fan_share_max,fan_share_width,percent_rule_eliminated,rank_rule_eliminated
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,22.0,7.333333333333333,3.0,11,11,2,3,single_elimination,False,0.09954751131221719,0.09090275024496088,9.0,0.19045026155717806,8.0,12.0,5.0,-6.0,6.0,0.0,1.0,1.0,False,False
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,19.0,6.333333333333333,9.0,10,11,3,4,single_elimination,False,0.08597285067873303,0.0999928440228949,8.0,0.18596569470162794,2.0,17.0,2.0,1.0,1.0,0.0,1.0,1.0,False,False
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,16.0,5.333333333333333,8.0,9,11,4,5,single_elimination,False,0.0893854748603352,0.11111616375335324,3.0,0.20050163861368844,2.0,11.0,4.0,5.0,5.0,0.0,1.0,1.0,False,False
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,18.0,6.0,8.0,8,11,5,6,single_elimination,False,0.0989010989010989,0.13344583564355156,1.0,0.23234693454465044,2.0,9.0,3.0,7.0,7.0,0.016483516483516494,0.9945054945054945,0.978021978021978,False,False
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,27.9998,9.333266666666667,6.0,7,11,6,7,single_elimination,False,0.13526519171803963,0.1422833804330458,4.0,0.2775485721510854,3.0,10.0,1.0,2.0,2.0,0.019323736843554568,0.9178770169754196,0.898553280131865,False,False
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,32.5,8.125,6.0,6,11,7,8,single_elimination,False,0.15587529976019185,0.17148557970021322,1.0,0.32736087946040504,2.0,7.0,2.0,5.0,5.0,0.009592326139088725,0.9952038369304557,0.985611510791367,False,False
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,23.5,7.833333333333333,5.0,5,11,8,9,single_elimination,False,0.17735849056603772,0.20188843403813847,1.0,0.3792469246041762,2.0,6.0,2.0,4.0,4.0,0.0037735849056603765,1.0,0.9962264150943396,False,False
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,26.5,8.833333333333334,4.0,4,11,9,10,single_elimination,False,0.2324561403508772,0.2588447662044585,1.0,0.4913009065553357,2.0,5.0,2.0,3.0,3.0,0.017543859649122806,1.0,0.9824561403508771,False,False
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,21,Eliminated Week 4,9,19.5,6.5,11.0,13,15,1,2,single_elimination,False,0.0705244122965642,0.0769258691853286,6.0,0.1474502814818928,3.0,17.0,2.0,5.0,5.0,0.0,1.0,1.0,False,False
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,21,Eliminated Week 4,9,18.0,6.0,12.0,12,15,2,3,single_elimination,False,0.06521739130434782,0.09181818182061763,1.0,0.15703557312496547,2.0,13.0,5.0,11.0,11.0,0.01630434782608696,0.9927536231884058,0.9764492753623188,False,False
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,21,Eliminated Week 4,9,22.5,7.5,11.0,11,15,3,4,multi_elimination,False,0.08093525179856115,0.09637929773960266,1.0,0.1773145495381638,3.0,12.0,6.0,10.0,10.0,0.010791366906474822,0.9928057553956835,0.9820143884892086,False,False
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,21,Eliminated Week 4,9,32.0,8.0,8.0,9,15,4,5,single_elimination,True,0.09953343701399689,0.10803632194538529,9.0,0.20756975895938218,1.0,17.0,1.0,-1.0,1.0,0.0,0.12268878520822533,0.12268878520822533,True,True
Bobby Bones,Sharna Burgess,Radio Personality,Arkansas,United States,38,1st Place,1,20.0,6.666666666666667,5.0,13,27,1,2,single_elimination,False,0.0784313725490196,0.07687749928451346,7.0,0.15530887183353306,7.0,12.0,7.0,-2.0,2.0,0.0,0.9862745098039216,0.9862745098039216,False,False
Bobby Bones,Sharna Burgess,Radio Personality,Arkansas,United States,38,1st Place,1,19.5,6.5,10.0,12,27,2,3,single_elimination,False,0.07208872458410351,0.08333337199529886,5.0,0.15542209657940237,3.0,15.0,4.0,5.0,5.0,0.0,0.9963031423290203,0.9963031423290203,False,False
Bobby Bones,Sharna Burgess,Radio Personality,Arkansas,United States,38,1st Place,1,23.0,7.666666666666667,8.0,11,27,3,4,single_elimination,False,0.08487084870848709,0.0908449648197961,10.0,0.1757158135282832,4.0,18.0,3.0,-2.0,2.0,0.0,0.981549815498155,0.981549815498155,False,False
Bobby Bones,Sharna Burgess,Radio Personality,Arkansas,United States,38,1st Place,1,20.0,6.666666666666667,9.0,10,27,4,5,single_elimination,False,0.08620689655172414,0.10277942245225553,2.0,0.18898631900397966,3.0,11.0,5.0,7.0,7.0,0.025862068965517238,0.8922413793103449,0.8663793103448276,False,False
Bobby Bones,Sharna Burgess,Radio Personality,Arkansas,United States,38,1st Place,1,22.0,7.333333333333333,7.0,9,27,6,7,single_elimination,False,0.09606986899563319,0.1109898340578369,5.0,0.2070597030534701,3.0,12.0,2.0,2.0,2.0,0.008733624454148464,0.9694323144104804,0.9606986899563319,False,False
Bobby Bones,Sharna Burgess,Radio Personality,Arkansas,United States,38,1st Place,1,26.5,8.833333333333334,6.0,8,27,7,8,multi_elimination,False,0.12183908045977011,0.12492494101468199,4.0,0.2467640214744521,4.0,10.0,3.0,2.0,2.0,0.0022988505747126436,0.9839080459770115,0.9816091954022989,False,False
Bobby Bones,Sharna Burgess,Radio Personality,Arkansas,United States,38,1st Place,1,22.5,7.5,6.0,6,27,8,9,multi_elimination,False,0.13975155279503104,0.19103493189191986,1.0,0.33078648468695093,3.0,7.0,1.0,5.0,5.0,0.04658385093167702,0.9720496894409938,0.9254658385093167,False,False
