celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,results,placement,judge_total,judge_mean,judge_rank,contestants_active,season,week,next_week,event_type,observed_eliminated,judge_percent,fan_share_est,fan_rank_est,combined_percent,combined_percent_rank,rank_rule_score,rank_rule_bad_rank,fan_rescue_gap,controversy_index,fan_share_min,fan_share_max,fan_share_width,percent_rule_eliminated,rank_rule_eliminated
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,27.5,9.166666666666666,1.0,4,2,7,8,single_elimination,False,0.2696078431372549,0.24913044010366803,2.0,0.5187382832409229,3.0,3.0,3.0,-1.0,1.0,0.0,0.9411764705882353,0.9411764705882353,False,False
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,26.5,8.833333333333334,3.0,4,2,7,8,single_elimination,True,0.25980392156862747,0.22145779206924907,4.0,0.4812617136378765,1.0,7.0,1.0,-1.0,1.0,0.0,0.24019607843137253,0.24019607843137253,True,True
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,20.5,6.833333333333333,4.0,4,2,7,8,single_elimination,False,0.20098039215686275,0.2802813262957202,1.0,0.481261718452583,2.0,5.0,2.0,3.0,3.0,0.05882352941176472,1.0,0.9411764705882353,False,False
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,26.0,8.666666666666666,1.0,11,3,1,2,single_elimination,False,0.12264150943396226,0.09090482174781254,9.0,0.2135463311817748,11.0,10.0,7.0,-8.0,8.0,0.0,1.0,1.0,False,False
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,24.0,8.0,2.0,11,3,1,2,single_elimination,False,0.11320754716981132,0.09091896824477814,1.0,0.20412651541458948,10.0,3.0,11.0,1.0,1.0,0.0,1.0,1.0,False,False
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,Eliminated Week 4,8,22.0,7.333333333333333,3.0,11,3,1,2,single_elimination,False,0.10377358490566038,0.0909070145121897,6.0,0.1946805994178501,8.0,9.0,9.0,-3.0,3.0,0.0,1.0,1.0,False,False
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,Eliminated Week 5,7,22.0,7.333333333333333,3.0,11,3,1,2,single_elimination,False,0.10377358490566038,0.0909070145121897,6.0,0.1946805994178501,8.0,9.0,9.0,-3.0,3.0,0.0,1.0,1.0,False,False
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,21.0,7.0,5.0,11,3,1,2,single_elimination,False,0.09905660377358491,0.09090523302680462,8.0,0.18996183680038953,7.0,13.0,3.0,-3.0,3.0,0.0,1.0,1.0,False,False
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,Eliminated Week 8,4,19.0,6.333333333333333,6.0,11,3,1,2,single_elimination,False,0.08962264150943396,0.09090890394472893,5.0,0.1805315454541629,6.0,11.0,5.0,1.0,1.0,0.0,1.0,1.0,False,False
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,Eliminated Week 2,10,18.0,6.0,7.0,11,3,1,2,single_elimination,False,0.08490566037735849,0.09090982418463779,4.0,0.17581548456199628,5.0,11.0,5.0,3.0,3.0,0.0,1.0,1.0,False,False
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,Eliminated Week 3,9,17.0,5.666666666666667,8.0,11,3,1,2,single_elimination,False,0.08018867924528301,0.09091586379871781,2.0,0.17110454304400083,4.0,10.0,7.0,6.0,6.0,0.0,1.0,1.0,False,False
Jerry Springer,Kym Johnson,TV Personality,,England,62,Eliminated Week 7,5,16.0,5.333333333333333,9.0,11,3,1,2,single_elimination,False,0.07547169811320754,0.0909156974022929,3.0,0.16638739551550044,3.0,12.0,4.0,6.0,6.0,0.0,1.0,1.0,False,False
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,Withdrew,6,15.0,5.0,10.0,11,3,1,2,single_elimination,False,0.07075471698113207,0.09090455155403203,10.0,0.1616592685351641,2.0,20.0,2.0,0.0,0.0,0.0,1.0,1.0,False,False
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,Eliminated Week 1,11,12.0,4.0,11.0,11,3,1,2,single_elimination,True,0.05660377358490566,0.0909021061420431,11.0,0.14750587972694876,1.0,22.0,1.0,0.0,0.0,0.0,0.1252144082332762,0.1252144082332762,True,True
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,29.0,9.666666666666666,1.0,10,3,2,3,single_elimination,False,0.12608695652173912,0.09995407517101725,8.0,0.22604103169275636,10.0,9.0,7.0,-7.0,7.0,0.0,0.9739130434782609,0.9739130434782609,False,False
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,Eliminated Week 8,4,26.0,8.666666666666666,2.0,10,3,2,3,single_elimination,False,0.11304347826086956,0.09996125653242323,2.0,0.2130047347932928,9.0,4.0,10.0,0.0,0.0,0.0,0.9739130434782609,0.9739130434782609,False,False
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,24.0,8.0,3.0,10,3,2,3,single_elimination,False,0.10434782608695652,0.0999590526492397,3.0,0.2043068787361962,7.0,6.0,8.0,0.0,0.0,0.0,0.9739130434782609,0.9739130434782609,False,False
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,Eliminated Week 4,8,24.0,8.0,3.0,10,3,2,3,single_elimination,False,0.10434782608695652,0.0999590526492397,3.0,0.2043068787361962,7.0,6.0,8.0,0.0,0.0,0.0,0.9739130434782609,0.9739130434782609,False,False
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,Eliminated Week 5,7,23.0,7.666666666666667,5.0,10,3,2,3,single_elimination,False,0.1,0.0999506150429589,9.0,0.1999506150429589,6.0,14.0,2.0,-4.0,4.0,0.0,0.9739130434782609,0.9739130434782609,False,False
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,Eliminated Week 2,10,22.0,7.333333333333333,6.0,10,3,2,3,single_elimination,True,0.09565217391304348,0.0936495460673186,10.0,0.18930171998036208,1.0,16.0,1.0,-4.0,4.0,0.0,0.1043478260869565,0.1043478260869565,True,True
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,Eliminated Week 3,9,21.0,7.0,7.0,10,3,2,3,single_elimination,False,0.09130434782608696,0.09995779191751329,5.0,0.19126213974360023,3.0,12.0,3.0,2.0,2.0,0.004347826086956524,0.9782608695652174,0.9739130434782609,False,False
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,21.0,7.0,7.0,10,3,2,3,single_elimination,False,0.09130434782608696,0.09995779191751329,5.0,0.19126213974360023,3.0,12.0,3.0,2.0,2.0,0.004347826086956524,0.9782608695652174,0.9739130434782609,False,False
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,Withdrew,6,21.0,7.0,7.0,10,3,2,3,single_elimination,False,0.09130434782608696,0.09995779191751329,5.0,0.19126213974360023,3.0,12.0,3.0,2.0,2.0,0.004347826086956524,0.9782608695652174,0.9739130434782609,False,False
Jerry Springer,Kym Johnson,TV Personality,,England,62,Eliminated Week 7,5,19.0,6.333333333333333,10.0,10,3,2,3,single_elimination,False,0.08260869565217391,0.10669302570545952,1.0,0.18930172135763343,2.0,11.0,6.0,9.0,9.0,0.013043478260869573,0.9869565217391305,0.9739130434782609,False,False
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,Eliminated Week 8,4,27.0,9.0,1.0,9,3,3,4,single_elimination,False,0.13043478260869565,0.11105654100940071,6.0,0.24149132361809636,8.0,7.0,5.0,-5.0,5.0,0.0,0.9806763285024155,0.9806763285024155,False,False
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,Eliminated Week 4,8,27.0,9.0,1.0,9,3,3,4,single_elimination,False,0.13043478260869565,0.11105654100940071,6.0,0.24149132361809636,8.0,7.0,5.0,-5.0,5.0,0.0,0.9806763285024155,0.9806763285024155,False,False
